"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Christian McCaffrey",CAR,"13"," 1.2","0","+8.0","100% (3/3)"
"2",1,"Dalvin Cook",MIN,"7"," 4.6","0","+4.0","57% (8/14)"
"3",1,"Derrick Henry",TEN,"13"," 5.0","0","+2.1","50% (8/16)"
"4",2,"Alvin Kamara",NO,"6"," 3.6","0","+3.1","53% (8/15)"
"5",2,"Ezekiel Elliott",DAL,"7"," 3.8","0","-2.9","33% (5/15)"
"6",2,"Nick Chubb",CLE,"13"," 9.0","0","+2.6","58% (7/12)"
"7",2,"Aaron Jones",GB,"13"," 3.8","0","+0.8","42% (6/14)"
"8",2,"Jonathan Taylor",IND,"14"," 6.4","0","+2.1","57% (8/14)"
"9",2,"Saquon Barkley",NYG,"10"," 2.0","0","-11.3","0% (0/2)"
"10",3,"Antonio Gibson",WAS,"9"," 4.8","+2","+1.0","50% (7/14)"
"11",3,"Najee Harris",PIT,"7"," 8.2","-1","-","-"
"12",3,"Joe Mixon",CIN,"10"," 6.6","+1","+0.1","16% (1/6)"
"13",3,"Austin Ekeler",LAC,"7"," 8.6","-2","-4.5","33% (4/12)"
"14",3,"Clyde Edwards-Helaire",KC,"12"," 7.8","0","-2.3","35% (5/14)"
"15",3,"Chris Carson",SEA,"9"," 2.0","+2","-0.3","50% (6/12)"
"16",3,"David Montgomery",CHI,"10"," 6.0","-1","+3.2","53% (8/15)"
"17",4,"James Robinson",JAC,"7"," 6.2","+1","+1.6","42% (6/14)"
"18",4,"D'Andre Swift",DET,"9"," 3.2","+2","+2.1","61% (8/13)"
"19",4,"Josh Jacobs",LV,"8"," 6.0","-3","-0.8","33% (5/15)"
"20",4,"Miles Sanders",PHI,"14"," 4.4","-1","-1.2","33% (4/12)"
"21",4,"Gus Edwards",BAL,"8"," 7.4","+8","+2.2","56% (9/16)"
"22",4,"Darrell Henderson",LAR,"11"," 4.4","+2","0.0","33% (5/15)"
"23",4,"Damien Harris",NE,"14"," 4.8","+4","-0.1","40% (4/10)"
"24",4,"Mike Davis",ATL,"6"," 2.4","-2","-1.0","40% (6/15)"
"25",4,"Kareem Hunt",CLE,"13"," 8.4","-2","-0.2","50% (8/16)"
"26",4,"Myles Gaskin",MIA,"14"," 5.6","-5","+3.8","70% (7/10)"
"27",5,"Javonte Williams",DEN,"11"," 7.6","-1","-","-"
"28",5,"Raheem Mostert",SF,"6"," 3.6","-3","-0.8","50% (4/8)"
"29",5,"Chase Edmonds",ARI,"12"," 4.4","-1","+0.7","37% (6/16)"
"30",5,"Ronald Jones II",TB,"9"," 1.0","+1","+0.2","53% (8/15)"
"31",5,"Melvin Gordon III",DEN,"11"," 7.6","-1","0.0","46% (7/15)"
"32",5,"Trey Sermon",SF,"6"," 3.8","0","-","-"
"33",5,"James Conner",ARI,"12"," 4.8","+1","-2.0","42% (6/14)"
"34",5,"Zack Moss",BUF,"7"," 4.4","+2","+0.2","46% (6/13)"
"35",5,"AJ Dillon",GB,"13"," 3.8","0","+0.9","25% (3/12)"
"36",5,"Leonard Fournette",TB,"9"," 1.2","-3","0.0","30% (4/13)"
"37",5,"Michael Carter",NYJ,"6"," 5.8","0","-","-"
"38",6,"Jamaal Williams",DET,"9"," 3.6","+3","+0.2","42% (6/14)"
"39",6,"Kenyan Drake",LV,"8"," 6.0","0","-0.2","53% (8/15)"
"40",6,"Devin Singletary",BUF,"7"," 4.4","-2","-1.9","37% (6/16)"
"41",6,"Tony Pollard",DAL,"7"," 3.8","+2","+1.1","50% (8/16)"
"42",6,"Sony Michel",LAR,"11"," 5.0","-2","+0.2","36% (4/11)"
"43",6,"David Johnson",HOU,"10"," 4.6","-1","+0.4","41% (5/12)"
"44",6,"Phillip Lindsay",HOU,"10"," 4.4","+6","-1.7","27% (3/11)"
"45",6,"Nyheim Hines",IND,"14"," 5.6","+1","+2.0","43% (7/16)"
"46",6,"Alexander Mattison",MIN,"7"," 4.4","-1","0.0","38% (5/13)"
"47",6,"James White",NE,"14"," 4.4","+5","-1.4","35% (5/14)"
"48",6,"Tevin Coleman",NYJ,"6"," 5.2","0","-3.2","0% (0/9)"
"49",6,"J.D. McKissic",WAS,"9"," 5.8","-2","+1.5","62% (10/16)"
